,title,link,isSuccess,descriptions,commits,link_issues
10,"chore(i18n,docs): processed translations",https://github.com/freeCodeCamp/freeCodeCamp/pull/49992,True,This PR was opened auto-magically by Crowdin.,"['chore(i18n,docs): processed translations']",[]
11,Issue 49976 switch condition,https://github.com/freeCodeCamp/freeCodeCamp/pull/49983,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #XXXXX","['Issue 49976 switch condition', 'Issue 49976 switch condition']",[]
12,"chore(i18n,learn): processed translations",https://github.com/freeCodeCamp/freeCodeCamp/pull/49981,True,This PR was opened auto-magically by Crowdin.,"['chore(i18n,learn): processed translations']",[]
13,"chore(i18n,client): processed translations",https://github.com/freeCodeCamp/freeCodeCamp/pull/49980,True,This PR was opened auto-magically by Crowdin.,"['chore(i18n,client): processed translations']",[]
14,"chore(i18n,docs): processed translations",https://github.com/freeCodeCamp/freeCodeCamp/pull/49979,True,This PR was opened auto-magically by Crowdin.,"['chore(i18n,docs): processed translations']",[]
15,docs: remove Atom as a recommended code editor,https://github.com/freeCodeCamp/freeCodeCamp/pull/49974,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request
guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.","['update: docs - remove atom as recommendation', 'Update docs/how-to-setup-freecodecamp-locally.md', 'Update docs/how-to-setup-freecodecamp-locally.md', 'Update docs/how-to-setup-freecodecamp-locally.md']",[]
16,refactor(client): make elements in show global to reduce the load on every render,https://github.com/freeCodeCamp/freeCodeCamp/pull/49972,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
While investigating the reason why preview isn't rendering content, unless content change and it pass again to as mentioned in this issue https://github.com/freeCodeCamp/freeCodeCamp/issues/49886, I didn't find much 😞.
This is some refactoring that made it easier to understand what is happening in show.tsx file","['refactor(client): make elements in show global to reduce the load on …', 'Remove a redundant comment', 'fix the default output text', 'remove redundant comments', 'add newline to defaultOutput']",[]
17,fix(curriculum): Bad Grammar Cat photo App 8,https://github.com/freeCodeCamp/freeCodeCamp/pull/49971,False,"I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Before:
After:
Closes #49964
Fixed the Grammar and did some Formatting.",['fix(curriculum): Bad Grammar Cat photo App 8'],['Bad Grammar Cat Photo App 8']
18,fix(curriculum): Bad grammar cat photo app 8,https://github.com/freeCodeCamp/freeCodeCamp/pull/49969,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #49964
Before:

After:
This fix cleans up formatting and grammar to make lesson more readable.","['Merge pull request', 'from freeCodeCamp/main', ""Merge branch 'freeCodeCamp:main' into main"", ""Merge branch 'main' of"", ""Merge branch 'freeCodeCamp:main' into main"", ""Merge branch 'freeCodeCamp:main' into Bad-Grammar-Cat-Photo-App-8"", 'Fixed grammar and formatting', 'Re-added instructions']",['Bad Grammar Cat Photo App 8']
19,fix: Bad grammar cat photo app 8,https://github.com/freeCodeCamp/freeCodeCamp/pull/49968,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #49964
Before:

After:
This change cleans up the formatting and fixes some grammar to make the lesson more readable.","['Merge pull request', 'from freeCodeCamp/main', ""Merge branch 'freeCodeCamp:main' into main"", ""Merge branch 'main' of"", ""Merge branch 'freeCodeCamp:main' into main"", ""Merge branch 'freeCodeCamp:main' into Bad-Grammar-Cat-Photo-App-8""]",['Bad Grammar Cat Photo App 8']
20,Update README.md,https://github.com/freeCodeCamp/freeCodeCamp/pull/49967,True,"Making it beautiful by indenting and adding punctuations.
Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #XXXXX",['Update README.md'],[]
21,fix(curriculum): make logical AND/OR step more concise,https://github.com/freeCodeCamp/freeCodeCamp/pull/49965,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #49484
This pull request covers both files mentioned in the issue and everything seems to be working properly.","['Fix typos in js logical steps.', 'Consistency across both pages.']",['Basic JS steps need updates to facilitate translation']
22,fix: removed extra blank link between sections,https://github.com/freeCodeCamp/freeCodeCamp/pull/49963,False,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #XXXXX",['fix: removed extra blank link between sections'],[]
23,"chore(i18n,learn): processed translations",https://github.com/freeCodeCamp/freeCodeCamp/pull/49961,True,This PR was opened auto-magically by Crowdin.,"['chore(i18n,learn): processed translations']",[]
24,feat: add githash as query param,https://github.com/freeCodeCamp/freeCodeCamp/pull/49960,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
This should help us debug issues by pinning down which version of the client is making the request.",['feat: add githash as query param'],[]
